token_address,token_name,token_symbol,decimals
0x5a24e33c1f3ac55b96f818d40d0ad97f71b42658,TEST Reverse Token,TESTRVRS,18
0xcf664087a5bb0237a0bad6742852ec6c8d69a27a,Wrapped ONE,WONE,18
0xf94dffa0d6dbbf20a663907d798ed92565456c33,Testicles,TEST,18
0x59b766f8dfca8834010705833dc33b7b2687dc10,BNB,bsc1bscBNB,18
0xe176ebe47d621b984a73036b9da5d834411ef734,Binance USD,BUSD,18
0x05ce07282be640608bb14d5b5aa04a4b57ba9865,QUARTZ,QUARTZ,18
0x224e64ec1bdce3870a6a6c777edd450454068fec,Wrapped UST Token,UST,18
0x582617bd8ca80d22d4432e63fda52d74dcdcee4c,Cardano Token,bscADA,18
0x218532a12a389a4a92fc0c5fb22901d1c19198aa,ChainLink Token,LINK,18
0x72cb10c6bfa5624dd07ef608027e366bd690048f,Jewels,JEWEL,18
0x5f123df9d281ad9b071d616ed8624470f58fcf39,Shvas Rune,DFKSRUNE,18
0x6b10ad6e3b99090de20bf9f95f960addc35ef3e2,Rockroot,DFKRCKRT,0
0x6e85399c21a62d9dc555c2c9b46c4854dd2416c5,Good Times Coin,GTC,18
0xb55106308974cebe299a0f0505435c47b404b9a6,Eden,EDEN,18
0xf4d43c2d6bfadbed33e6ce28b40d1c2995f07c4c,SmugDoge.com,SMUG,9
0x3a4edcf3312f44ef027acfd8c21382a5259936e7,Gold,DFKGOLD,3
0x2f0d77eb6d1e3b936ab782e52b541737388e5702,SmugDoge1,SMUG1,10
0x2e16bb971a4608b8e3205bbecd331b71d83abec8,BABYTRANQ,BABYTRANQ,18
0x139c70f74613e229b1aab2c39df8f73d54df5c80,FarmersOnly Token,FOX,18
0x7bf379fcb16b4a6f648371cd72d9d443ef24168f,Amethyst,AME,18
0x9427a2a738affbc5880f0646b5251069c022e525,Global Transaction Payment Solution,GTPS,18
0x66f5bfd910cd83d3766c4b39d13730c911b2d286,Shvas rune,DFKSHVAS,0
0xa9ce83507d872c5e1273e745abcfda849daa654f,xJewels,xJEWEL,18
0xb12c13e66ade1f72f71834f2fc5082db8c091358,Avalanche,AVAX,18
0x40596735baf0bf101f0e5f4ac1168f1ceba7efa3,Baby Harmony,BH,18
0xb8e0497018c991e86311b64efd9d57b06aedbbae,DaVinci Token,VINCI,18
0x56ba644ae496fb04dffa8679fd6c65ed7de1170e,DefiKingDomCapital,DFKCap,9
0x4f255fda21c2ba823d395d292f763892e354c95c,Bsnappy,Bsnappy,18
0xd009b07b4a65cc769379875edc279961d710362d,Rain Token,RAIN,18
0x1d6300b1d1a1e17112f9a8325ed733b7995bfb2c,POPCATONE,POPCAT,9
0x0159ed2e06ddcd46a25e74eb8e159ce666b28687,FarmersOnly Token2,FOX,18
0x70831ee5f8a0434bd2ddb1e45ed24cbca8b41fec,BABYJEWEL,BABYJEWEL,18
0x3095c7557bcb296ccc6e363de01b760ba031f2d9,Wrapped BTC,1WBTC,8
0x1971b39937cda498e8085dc0da6e59f99bb68176,SmugDoge.com,SMUG,9
0xe4cfee5bf05cef3418da74cfb89727d8e4fee9fa,Ironscale,DFKIRONSCALE,0
0x094243dfabfbb3e6f71814618ace53f07362a84c,Redleaf,DFKRDLF,0
0x698027fee7e35691d17881abdd69d625b0b63f04,Rock$tar,Rock,18
0xc2b4e81a4b68a979211b80646f4511fe907465aa,SmugDoge.com,SMUG,9
0x4d555a04fa5def837ec219e6fb91f76c04743e68,Toucan,TCO2,9
0x9b68bf4bf89c115c721105eaf6bd5164afcc51e4,Freyala,XYA,18
0x731e39329eeef36abc258002f932e19706555fc3,Tosa Inu,TOSA,18
0xcfa091b154025ab7e5beacc75c66235d1466b3b2,SmugDoge.com,SMUG,9
0x3d86f15b545f8be470513ce1addde93582ffbd36,Novi Protocol,NOVI,18
0x09c1b036ad110c0161dba7d920d76049a121120e,BABYTRANQ,BABYTRANQ,18
0xd41605a6ac77b5878cf7af849ef6663feaed1cd0,Tamam Finance,Tmm,18
0x0e4676368c925faaee37f8ddfbaf13c8311a632e,Shitzu,SHIT,18
0x3c2b8be99c50593081eaa2a724f0b8285f5aba8f,Tether USD,1USDT,6
0x60e0d939d4b0c71918088278bcf600470a6c8f26,Jewel LP Token,JEWEL-LP,18
0xd74433b187cf0ba998ad9be3486b929c76815215,Artemis,MIS,18
0xc9cf57af196291db545c3696567c65ec8dd76351,GrumpyCat,Grumps,9
0xbd4e27c26a9924abe7c19a365fbc65825d2bf103,QSHARE,QSHARE,18
0x985458e523db3d53125813ed68c274899e9dfab4,USD Coin,1USDC,6
0xb80a07e13240c31ec6dc0b5d72af79d461da3a70,Sailfish,DFKSAILFISH,0
0x943f5ee79c07370d3b36cc1a2f676796b68c2749,BABYJEWEL,BABYJEWEL,18
