pool_address,pool_name,token0,token1
0x9a2aefdb2ada8d2f4461f5ffd3ac15d010a463d3,LAZIO-WONE,0x6b7397dd60393e3018a14819354acb804d5c16c0,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x6b3071f2d6beba63ccfd3838cc5866a081ad3854,DOBONE-WONE,0x21187f883f90f0990bee6ed42e59683ccc114aa6,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0xe78059957ecda702d4ac2bcc1fb08d1b43192e6a,xJEWEL-quus,0xa9ce83507d872c5e1273e745abcfda849daa654f,0xeaed2e58f3ed006e95c76ea684ac6ad205536df6
0xb96d6be5f70678790f12bb9271703d8c861697ad,UST-quus,0x224e64ec1bdce3870a6a6c777edd450454068fec,0xeaed2e58f3ed006e95c76ea684ac6ad205536df6
0x206ef945884a898de62eaccb061110e964787734,TST2-WONE,0x90c7fe64deb5c7dc96dda92fd6685628ca1c4fda,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0xc2915130658a1c6c24d1475b9595a91f1bf268cc,DVT-WONE,0xac586259a98411ccb4443d9bc761852623df44d5,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0xca95f6ba441cbbc25b1f15b680e5e5b6d839e720,mNFT-WONE,0x106ce5b2405497302fcc680383e72446003c4407,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0xf219b2ed40e90bd7994eb4e6aa027978c2cc2710,rfAVAX-et5,0x7ba36d67023e3a7e3ec5416cbc6b0b078d2b53c7,0xcde48e05a6374a2d56dc5018be61082d62d075aa
0xabd87f0f8a28c6ed3fe2f19bd8d8730b68a821bf,DFKCRYSTAL-WONE,0x0a79ebe7ace1c29a4ba03111120abe2fb9316bb4,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0xe5eaf316a5c0703bd0c80c21f9dfe099a007abd0,HONK-JEWEL,0x708e58a2a7b441040269c81049dcfef24b65c595,0x72cb10c6bfa5624dd07ef608027e366bd690048f
0x28535126d3350188326340ceb16b2a1dbf0aa849,UST-QUUS,0x224e64ec1bdce3870a6a6c777edd450454068fec,0xdcfb120e4418712fb36e192cd0d23f58e57941da
0xd73e730a4f709a5bf2607b79b263444b9fd25ffc,UST-POOPY,0x224e64ec1bdce3870a6a6c777edd450454068fec,0xab5f797285d0b6b3596e428356d50410e6b659a9
0x69168416def9a00cb9368c90c0cf837fb74ae0c7,WONE-ATDB!4,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a,0xe8861220591f673f8750edbc163a7ac90f444281
0x548d3429b2a48d311765d45220a3f5b01943e62c,XGRAV-WONE,0x6bb07550c6ecb28c1530215e4301d4b213fe8430,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x661a1af6af59e071e7803e5efde65d3ae390f3cb,HORIZON-WONE,0x4febc2faca04a750ec015b03d1f5f4fcec78580b,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0xa698973b4cacb7aad52664f6dc03b4afb79e5210,HDD-WONE,0x8c94ffb7f86c1e919bc82d430919c9b25efa1db2,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0xac3f348899580b79253c66e51b22b207686d72a0,wAlchemist-WONE,0x9aa6715bfa11e5bd63af420f480c758c7038e08a,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x194d2ea4d232b697ec7e1b638b8d2685915ef127,FREYA2-WONE,0x9dc5cd8dd0d2d1cc16a28f24eb53d68c8ee2796b,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x72be1ba71a6a02bfa39d839659e726c915b6b1f3,FREYA2-WONE,0x2db14bc50dfd7c56079441069b5efff805087b82,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0xddc26c91f4aebcad7518444a7a61d3bd1f67b2df,et3-WONE,0x3e7f3b098664f67a4e0440cd2ead2d44e7e78753,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x3618d9c7597a8c027b5f520784ac2798005349ea,et3-rfAVAX,0x3e7f3b098664f67a4e0440cd2ead2d44e7e78753,0x7ba36d67023e3a7e3ec5416cbc6b0b078d2b53c7
0x257e57f9541c74038eb721cacbd71dd19df74a0f,et5-rfJEWEL,0x96584a14b59db406be1240f79a4da8a5734c4233,0xfe3e6889ea7a7fe54c45d023a4958b9ee06376cf
0x72ab121ec97e2f948884c5d51521d9b7acc8ca89,HRMS-WONE,0x154fc67d73a7fb70a88dad1064b9f5355b77258f,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x11d56ba85c4632c92789253a532c1a08dd5fee9d,FISHFOOD-WONE,0x81e9e682d2d7f016ff7c3d17567ee7511f29f653,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0xdc49f38111951b06a8ce3b92902778838b4e1d55,ISLE-WONE,0x89d236a3b846f29d56390e65e140c7a7049fd62b,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x66854c17d5908486cab6d115540f92ec7f7f3ee1,POOPY-WONE,0xab5f797285d0b6b3596e428356d50410e6b659a9,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x72d485d244d126362039a79289d19955d4419cf6,Todd-WONE,0x9cb6e7ad838a8f7abceb09b998e6c632620c5e2b,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0xf07790564cc9a0ce75166050ae5869694725584d,UST-POOPY,0x224e64ec1bdce3870a6a6c777edd450454068fec,0xf3e258a4a1417d3fb80f678d771fa46a723214c5
0x8aecd44d8ea4bfdaecb460cca1f481f54f885895,WONE-CGS,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a,0xd242af2b05b32ec1b98fddc77079ebeb0caa99cc
0x38f0b1f88e241ab58611794ba5c6403756dc3fce,LGG-HLY,0x3e6e01fa168b26da679257d129944007270fe054,0x8d760497554eecc3b9036fb0364156ef2f0d02bc
0x3c1a996a39fae95c23330ba9acaf678205ba19eb,ATDB!3-WONE,0x91fcf4f9729f535c34974edab85cfdc88b92b959,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x01f970f089fbbc58f3068ae14734a025a3fd420a,LGG-ELEPHANT,0x3e6e01fa168b26da679257d129944007270fe054,0xc30a7f9c216b945ff8acfb389e955a637eb0f478
0x37116975dacc3a12a374bcb3e0fa60224532e964,UST-LGG,0x224e64ec1bdce3870a6a6c777edd450454068fec,0x3e6e01fa168b26da679257d129944007270fe054
0x2dc39926bd45c8018f38693a2ed468e2e1aaf3ae,OSHARE-WONE,0xc3ab23f608980408e7147e5e96ee643efefd175f,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x13369f79ca4b7055b2230c8d699143dbb851b837,xJEWEL-QUUS,0xa9ce83507d872c5e1273e745abcfda849daa654f,0xdcfb120e4418712fb36e192cd0d23f58e57941da
0x8e0530818730abbc9e28ef22d1ff5cb71c79d4e8,rfAVAX-et5,0x7ba36d67023e3a7e3ec5416cbc6b0b078d2b53c7,0x96584a14b59db406be1240f79a4da8a5734c4233
0x508a6ecb7c30f13293f9e017f7b29c6cab8aaa66,rfETH-et5,0xa7095980e739d339c2932c0b81b834fd1b706f4c,0xcde48e05a6374a2d56dc5018be61082d62d075aa
0x7c1d6e3062f5705a0924d0c21df3070110380fc7,jrUST-et5,0xa4e24f10712cec820dd04e35d52f8087a0699d19,0xcde48e05a6374a2d56dc5018be61082d62d075aa
0x4869d624b99e76d3c01acef652eb45cb0a03435c,et5-rfJEWEL,0xcde48e05a6374a2d56dc5018be61082d62d075aa,0xfe3e6889ea7a7fe54c45d023a4958b9ee06376cf
0x27a70dfc5dfbd820997ee7ba477f2da785b52ec5,RGLD-WONE,0x4c3bf85a4e78bfca52e5b8b786ab3044a3d2513e,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0xe1b02029018cff196ebd9ce12482b665c3fde271,Amon-WONE,0x125eeeeb52cf9c0efc167ced20893042ef0f71de,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x772b8b924d197108c5cc9483dc7bfd7a15a0a513,KNIGHT-WONE,0xc5843b3dd9b912fd5958e5b1d1f27189ef7189da,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x0e4e0cbd0268b7ab46d8f9187f9641a81e10d55f,DFKBLOATER-FISHFOOD,0x78aed65a2cc40c7d8b0df1554da60b38ad351432,0x81e9e682d2d7f016ff7c3d17567ee7511f29f653
0x02612e79920fd2cbacfb4e4aae9a68845a0358ab,FREYA2-WONE,0x0248ece1ab3117aa93549370f633bbcc1bfc8d25,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x7d4f0520e8de7221ac3b18779eb7bc51245127fe,FREYA2-WONE,0x65e824bb2cb9218dd8cef3d35f08bfea19588788,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0xb39548de519b0cdc6d1e06631a83080d2d134166,TST2-WONE,0x09cc3786b9f3d13343483f966d2efa20edef825d,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x404b7160632a906219d3a77fbd781e3201dac1d2,TST2-WONE,0x8891892c34b94e69e8d32f36f82fc0025926911f,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x089430850c28971e3204e05bc9c3d482b9bb2bf2,WONE-DONTBUY,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a,0xf2ce820c8c44a42158f9252c75d896e1a6fc4ac6
0x06171ee59361052810e729e510814c74f5c9bd3a,LGG-CGD,0x3e6e01fa168b26da679257d129944007270fe054,0x6caf20862a93f9d384ebb2feb2e953b699a0b944
0xcd52a29d9859237a98f986906e9ed49b65242f8e,FISHFOOD-HLY,0x81e9e682d2d7f016ff7c3d17567ee7511f29f653,0x8d760497554eecc3b9036fb0364156ef2f0d02bc
0x4083dd748a88d8490375f4790824a82da5c29e88,JEWEL-AVAX,0x72cb10c6bfa5624dd07ef608027e366bd690048f,0xd9eaa386ccd65f30b77ff175f6b52115fe454fd6
0x037ab8d85efdb85eb69fe6e5dd316175e06938b4,ETest2-WONE,0xc80a2469598278428a50b87977f9e5ce79ae3bf1,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x126234cfb016e2c59476226721b00366eb697a3c,et5-rfETH,0x96584a14b59db406be1240f79a4da8a5734c4233,0xa7095980e739d339c2932c0b81b834fd1b706f4c
0xd463c049a5a652cabc44199b6af0d2fcf4b3a853,ULTRA-WONE,0x7b7341539aab36eb3f0fb3dd248c4a7be692a6a2,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0xd3fa638ee47011180491b7b680b00faa37d9c174,WONE-RSLVR,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a,0xf0f858dc63a52b84553ff6668270e806db46efd1
0xc4320103757ada1a8cc43273ac35bdc4e0da6093,AQUA-WONE,0x1a5b1109f04cc3f45d4c533685a347656d0983e4,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0xf860de457a72555a0a34f835d41d4c862cf1ca61,$RBOA-quus,0x4c1d614d21e354b1c407dfb8b171adc72f0db127,0xeaed2e58f3ed006e95c76ea684ac6ad205536df6
0x81fb12002f90d206689ec074d3cc21d9612cd415,WONE-CRYSTAL,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a,0xfb57dfae522ba6bf23a249f946ac368c27c1f9c3
0xee31bd5c43d167e69f2d3b0adc798601e5492d5c,TST-WONE,0x4e30d63f57335cdf289d7aadf0dccf8cfe77bc6e,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0xda1140453583b9594d44ba507b821f62394b51a7,WONE-POOPY,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a,0xf3e258a4a1417d3fb80f678d771fa46a723214c5
0x2a4cfb9d06ceb1e00ba54cbc370eb577ec5480bf,UST-POOPY,0x224e64ec1bdce3870a6a6c777edd450454068fec,0x5ae2c35f3cda757b932406b8f41ae084b2993971
0x41c46952fa2d0ed7fa9c1ffc6f11506b16f50af7,POOPY-WONE,0x5ae2c35f3cda757b932406b8f41ae084b2993971,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x4899fad6a067e66029c51976b38f664e7e717d1e,UST-POOPY,0x224e64ec1bdce3870a6a6c777edd450454068fec,0x2e70587d791144e0941d0b65ebdcba7cc24199fa
0x6f3a20096963a8e6757575215cfd2d1e1d09d5a7,TST2-WONE,0x356bcc118518b75193dd875c7047da5afa5e673d,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x973388b553559eaaef62515c779b20d8a387bebb,1USDC-CGS,0x985458e523db3d53125813ed68c274899e9dfab4,0xd242af2b05b32ec1b98fddc77079ebeb0caa99cc
0x2817e81f8be38702a3c2f7fab97d305c8d73a052,TST2-WONE,0x6398ae898c66cbabc22c424c36ba314b63a76e6d,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x05be90682ef01b28ae0657c5148c7b1a2357661c,ATDB!-WONE,0x027efbb184d19fd0f65a53b5ced7b4d261acc0c3,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x2dda8f19d7ad7ddfad187251160a0d29ba711d65,TestToken-WONE,0xae21188a2a0c885e0249bac5e6f0599585267f48,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x0c896f0ddf5f56670ea7df251df6755126c44288,et5-WONE,0x96584a14b59db406be1240f79a4da8a5734c4233,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0xcb5bb148fd43d4239cec6e200ef26924c29b3220,et5-rfUST,0x96584a14b59db406be1240f79a4da8a5734c4233,0x971803c316d80ee490156af78e8eb5067edb73ac
0x9cacdb6cf587750366b1616ec7c88990cfdbe97e,rfUST-et5,0x971803c316d80ee490156af78e8eb5067edb73ac,0xcde48e05a6374a2d56dc5018be61082d62d075aa
0x00f56fbf8c566d18f407505e1b0982a6f0f4d305,rfUST-et5,0x971803c316d80ee490156af78e8eb5067edb73ac,0xd6c393ccd52d0ed6de789f8ac82c833e890aad29
0x090d3248557fe4ba8956c52310a3a41a50fd87e8,SafuRug-WONE,0xb1ed0b6c0f22074047965f9fb1332361dc4d48dd,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x6ee65e505fdf186d10b7aacb47848e4d5dab6650,HAPE-WONE,0x02e2f8ed8f8cce6b34c510926a5d962b38d8eba5,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x769d29c41ccbc2c2b89d408f6117189f7f7402d5,WONE-quus,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a,0xeaed2e58f3ed006e95c76ea684ac6ad205536df6
0xc9d9205a83e7b39fec97cfbe64e323cd43e5a6ba,WONE-MON,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a,0xfdac89b37d41bddf42738eb2fdbd7a13bb60fb22
0x37e17db8c5a5dcbacdf59ec5e9318fd320faed77,UST-Staked POO,0x224e64ec1bdce3870a6a6c777edd450454068fec,0xef1f91af946a5ebb4a333ae09b338618028ed4a7
0x0360ebc32b54e0257cf605b6ccd18caaa3fd3a40,TST2-WONE,0xba3a547671f3488ceca136c1a5c92a861e4b3bbc,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x33873fd5f359d17424e240fd29f59565f02ce394,ATDB!2-WONE,0xb17013c2e17aff6264fa8f2293be7ac3d2a2f6af,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x9803b4322296a29cf40468b9ba9f1f35b503cba4,CRYSTAL-WONE,0x73b2ab2a909723690069f3d4499b150c90f2e985,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0xa89f2721d9f3813015542553ff3cc3c83b9e36db,SHSH-WONE,0x968e5267a67135bcb5f6a4f53ffb1e57e7108725,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x173f4be9a95c51e443eb02c604e6ba07686c88c1,$RBOA-QUUS,0x4c1d614d21e354b1c407dfb8b171adc72f0db127,0xdcfb120e4418712fb36e192cd0d23f58e57941da
0xffabc9eeea7054531c69803059d3e108561aba3b,EVO-WONE,0x5b747e23a9e4c509dd06fbd2c0e3cb8b846e398f,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x5c441c97996856f2e4edac119b70db8968c1a6d4,WONE-TST2,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a,0xe50b78aa58c1c09dc936eb74c57aef88e85f38c2
0xf27ae414b8e5862c02487e82647638c1307d634f,GRAV-XGRAV,0x5dce7a3e8b53387a9ee1ce0d855b7a8d948100a3,0x6bb07550c6ecb28c1530215e4301d4b213fe8430
0xe552e9ee508b422d9dcbc0dcc68b376122933197,UST-POOPY,0x224e64ec1bdce3870a6a6c777edd450454068fec,0xb898c6dace2a46d27913c3eec8da4ecc79b94be9
0x399281c590bf02e0389806c46721ff0a52b076cb,TST2-WONE,0x99f1f43c36ddbe732b5c2bd154cf5be07f187b74,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x3bd94b9bd09ff30bfeca85bf2d38df184e56618e,TST2-WONE,0xbdda7244268aa26bb1c35418e2177affa3e2ea4a,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x684d97845dd7ba8e204e04140100ecd320083495,WONE-ATDB!5,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a,0xeab601130ae96244672688e97d8c90e07f98070e
0x0685751b74a07b16ccaac24402d87a83a8d91501,WONE-LMZ,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a,0xfef098703ad252dd37f8483a9da8ed2091e010cc
0xfb0d56e993e02f91fe5ffa2132bcb5a0e70d7f03,DONTBUY2-WONE,0x26f3fed95cc8cc7b639ca5551e83b5795ff5e4da,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0xeb12dccf1154ae0915160fe997279c81eef12aad,PAPER-MTOP,0x1affbc17938a25d245e1b7ec6f2fc949df8e9760,0x4a986bb7909d361f3191ea08d0c4b328295841a4
0x820ab5cc121f17c389cf14086ada13474e2f60b5,WONE-QUUS,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a,0xdcfb120e4418712fb36e192cd0d23f58e57941da
0x9b13d508509b06067c10d72a6e54dd8ef711b475,HF-WONE,0x7ca0c89aca1a3fb05acd75feddff666a34bf1ca4,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x3b77cdcd20731b720b982733ea6567b590150872,et5-WONE,0xcde48e05a6374a2d56dc5018be61082d62d075aa,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x77b68fb094059ba7722438986a92400ee751840b,et5-rfDAI,0xcde48e05a6374a2d56dc5018be61082d62d075aa,0xebaaa8d4024bcc87fd908b210a6895be4eacf410
0xb00e035935f500232904c7645b90d33540ae4f9f,et5-jrUST,0x96584a14b59db406be1240f79a4da8a5734c4233,0xa4e24f10712cec820dd04e35d52f8087a0699d19
