pool_address,pool_name,token0,token1
0x135812fe9df18b70978eb05958ff9dc74a196083,1USDC-WONE,0x985458e523db3d53125813ed68c274899e9dfab4,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x59b1455a5f4e841225c88197b94eee92eda883a8,UST-1USDC,0x224e64ec1bdce3870a6a6c777edd450454068fec,0x985458e523db3d53125813ed68c274899e9dfab4
0x4aa4b306bfece9025d65d3c88d81349d19f5d67c,hMOCHI-1USDC,0x0dd740db89b9fda3baadf7396ddad702b6e8d6f5,0x985458e523db3d53125813ed68c274899e9dfab4
0xafe716b0b1285b27795b80ceddd105de689c464d,ELK-1DAI,0xe1c110e1b1b4a1ded0caf3e42bfbdbb7b5d7ce1c,0xef977d2f931c1978db5f6747666fa1eacb0d0339
0x632a7f749f98812bf07fa00a8aa53e390046467e,MAI-WONE,0x3f56e0c36d275367b8c502090edf38289b3dea0d,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x4af68ad33eb03960ce146d4ecfba8f583d4a7ad8,WONE-BUSD,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a,0xe176ebe47d621b984a73036b9da5d834411ef734
0x914415c8f8965edec3abed415753dbf066300a8a,FOX-XYA,0x0159ed2e06ddcd46a25e74eb8e159ce666b28687,0x9b68bf4bf89c115c721105eaf6bd5164afcc51e4
0xf3d4efe0a61b075c2e02569edffb8cc0ddb1d06d,SONIC-SYN,0x1e05c8b69e4128949fcef16811a819ef2f55d33e,0xe55e19fb4f2d85af758950957714292dac1e25b2
0x243130d5a9bf54fe661adca850c481682dd502e6,1WBTC-WONE,0x3095c7557bcb296ccc6e363de01b760ba031f2d9,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0xb37aac8c823f37836cc2e6cc17405df900d49415,UST-LUNA,0x224e64ec1bdce3870a6a6c777edd450454068fec,0x95ce547d730519a90def30d647f37d9e5359b6ae
0x4aec6c70a5618e49274a42473dcd6eb8149fd766,HYDRA-WONE,0x9814c2392be5412c5de090febeee26693e96c9fa,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a
0x594ed9db6db8e74003a9989523937ce8f4ed271f,hMOCHI-BUSD,0x0dd740db89b9fda3baadf7396ddad702b6e8d6f5,0xe176ebe47d621b984a73036b9da5d834411ef734
0x0c71c312c5d8f4aa981cb50986925ffd1e726131,oSWAP-BUSD,0xc0431ddcc0d213bf27ececa8c2362c0d0208c6dc,0xe176ebe47d621b984a73036b9da5d834411ef734
0x529be44dc5379ce49cd91141740f6b11d9246757,WONE-APE,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a,0xd3a50c0dce15c12fe64941ffd2b864e887c9b9e1
0xf6938abb05f01d6089561fbf14121e3223ab43ba,XYA-LOOT,0x9b68bf4bf89c115c721105eaf6bd5164afcc51e4,0xbda99c8695986b45a0dd3979cc6f3974d9753d30
