token_address,token_name,token_symbol,decimals
0x7b1b7ae1d64308f06ddb32e3b76f800e9ca319a8,"Footprint Analytics",FOOT,18
0x3af9ab9ba2c4407006c6f91ba177087c0fb1e352,"Eggtart LPs",Eggtart-LP,18
0xd7953db532751e56717e71e96365515144938bd7,"Opinions",OPNION,18
0x405abd71446390b353d5f59e269c8f9f1cfdf50e,"balls1234",balls1234,18
0x98c2b8f03f8200fe5eaebb8ff4cce6718c8a4134,"Loot LP Token",LOOT-LP,18
0x76c57d2d7c63c520a5f7daa01e382b5823891db2,"SushiToken",bsc11SUSHI,18
0xfa7191d292d5633f702b0bd7e3e3bccc0e633200,"Frax",FRAX,18
0x6e09c20fcf7c5dafd3f12fddd42a15094c88e76a,"Venom LP Token",VENOM-LP,18
0xad245a78d895136798a5e3fd41f0c872c95d3c8b,"Loot LP Token",LOOT-LP,18
0x2d4c7e639e062b686d58338834eec9d7304e4447,"Shib One",SHIBONE,18
0x18efd3d3917fcd381adc8538d24907fb1f35b577,"Venom LP Token",VENOM-LP,18
0xa54b4bec71c92607cd4b795c1a45a29bc9e7d607,"Jewel LP Token",JEWEL-LP,18
0xe86c62fb863ab74e4fcdc119a23238ca431c2361,"Venom LP Token",VENOM-LP,18
0x7eb2026f7e13689d99d74e02b5c927bb1d98112d,"COINK",COINK,9
0x7c55e2eb5d6ccdb68c89254f1e6ac6ac1d321c6e,"SushiSwap LP Token",SLP,18
0x7fa2ed0c31f2c0d155469850cb01537726a1a541,"Loot LP Token",LOOT-LP,18
0xbc309d31c937e4db0e9737244c5a2cf4cc80251a,"OpenSwap LP Token",1WBTC/WONE,18
0x1ac5adc7ad51b2e0e9142ea5faaa02c188042453,"Inferno",INFER,18
0x851c83ea3ae46a3c9883c702aa2720e06b7b5255,"Phlogy charts",1min,18
0x93393296610cf8eb21c385a8f3f4f2b6eb5274d5,"Inferno",INFER,18
0xcec2789f559270b5d011f9142437135e5b59506e,"Venom LP Token",VENOM-LP,18
0x4e294ff0a52a41409fef22382be7dc2eb4d743b4,"Venom LP Token",VENOM-LP,18
0x3e831b80c3b81bf32eb28e698899b6eba6d7b5e7,"ImaMillionaire ",1MIL,18
0x24e0c2b36ab27448e926b007fc344095a6fe3a20,"SonicCity",SONICx,18
0x7fe990cbcacca96979329dbc8c2a860b4389b8f5,"BSMNTMOON",BSMNT,9
0x5ac1bfe33a07c11dd97cf0f6c3245b67a49878e1,"Venom LP Token",VENOM-LP,18
0xd00add0322ae99444a7081ac2421da3e519e6169,"Staked One",stONE,18
0x2685e2df7fa8b3f539ef0d6e4601eb1f59f8392c,"Sonic LP Token",SONIC-LP,18
0xcd572bf433edf699d6ac44efd3d58ebb37a51422,"Venom LP Token",VENOM-LP,18
0xacace56593f5db262baffd05ef105c383d778020,"SonicCity",SONICx,18
0xf253355187754881b7d2c520295288e413dadf6c,"Venom LP Token",VENOM-LP,18
0x10ca212a896fb50c9b7e6c29a58754818ce536a4,"xDingo",xDG,18
0x8b2fd67fc6139bfd9d6adf339bdcd8c3d05be029,"Venom LP Token",VENOM-LP,18
0xa547aea16dbee2989500499afc6390ec557e50ad,"SushiSwap LP Token",SLP,18
0xf8e63a6c8f2759d2c85acb3e7317e1ed74b8c463,"DSLA-LONG-14",DSLA-LP-14,18
0x63cf309500d8be0b9fdb8f1fb66c821236c0438c,"Yield Guild Games Token",1YGG,18
0x3ebdafd69d527a9b78e51b49b9974def6307cc97,"SushiSwap LP Token",SLP,18
0x7ef80ed025508aff9475e2a40c333b781eb1139c,"Venom LP Token",VENOM-LP,18
0x37820d4014144893c72adec8fb68238441d97cd8,"511 Coin",511 ,17
0xc67d463dcfe2f00b68013fdf58eb7ee3bfcbdcda,"dkBTC",DKBTC,9
0x607a9d4b551e8cd28418bcfc8b4e3e80b3be9815,"mushi finance",MUSHI,18
0x67f868c67d20174ea1d883b5b83ed327e6359ff5,"COINK",COINK,9
0xb810688dfd0132da1765c62dfca9db1d53b119e5,"GF TOKEN",BABYGIRL,9
0x4a702ef11745c39ccdbc2de817451ee3b0a1e5aa,"Venom LP Token",VENOM-LP,18
0xb54154ba12c070cb01667d2effb1d6534451d55f,"Jewel LP Token",JEWEL-LP,18
0x1fb9847987ba48ca14a6e321366120419725d7cf,"Swoop",SWP,18
0x03732a1b4297ec285999402a9129cfad62a65463,"ANY Bitcoin",anyBTC,8
0xbfe3e33b3a943e98d97d067e3fec5ca8e9a52e41,"Shitcoin",SHIT,18
0x4348fcad3ec7f76732ba66edf0719ef3a02554c7,"Venom LP Token",VENOM-LP,18
0x33a611bde3ac52d0fe2dcd28f5d810311b79863e,"Mochi LP Token",MOCHI-LP,18
0x2e3aa2316cde6954523c616226fc17831aaf8af3,"SushiSwap LP Token",SLP,18
0xac1347eb73e4e4da5a37b24500f30bde578ff01a,"Mochi LP Token",MOCHI-LP,18
0x0fbc273c612aaffc04defd8a65cd678b549efbaa,"Venom LP Token",VENOM-LP,18
0x3f662440ab30cd07a500969b7f306407bad5fa88,"Venom LP Token",VENOM-LP,18
0x75303fea630c0f023e0081a605ba4a3edc61f15c,"Unifi LP",u1USDC_UST,18
0x0bcad83903636909ec09bec005340d554bb5e962,"Venom LP Token",VENOM-LP,18
0x0366b1aeddd11c166e637d8e3f3d6a79d9ef13a6,"TokenTest1",TT1,18
0x99935fd46d4d6a7e20992195f3b962157818ba18,"Shittiest Coin",SHITTIEST,18
0x464bfe11162c8172520fc154e9fb90f9d7f9f042,"Ouroboros",BOROS,6
0x54fb543d07e47a953f20c08370d70c63b7fc37cb,"Venom LP Token",VENOM-LP,18
0xccc76d640f402e782d3815423c0f3a1e5bb0e0f9,"TLUMEN",TLUMEN,18
0x4b4d405a97d798f261aaf8a03d6cb9c236eceb16,"IstimewA KarenA beRbeda",AKAR,18
0x03dec16996f0f6ac0d020ff319607e438d9f140c,"Jewel LP Token",JEWEL-LP,18
0xc74eaf04777f784a7854e8950daeb27559111b85,"Jewel LP Token",JEWEL-LP,18
0xd45c14bdf45b4bd05325a7dc253ffcb0d205204d,"Loot LP Token",LOOT-LP,18
0xb60d01e94b7b7f9d4e72df1638ecf9ebdfcc9b64,"Mochi LP Token",MOCHI-LP,18
0x6966a4f64adef28fc246a996d8d89658ff3ffd76,"COINK",COINK,9
0xc3070521a7746488287cf627460b2e2c6afded36,"Venom LP Token",VENOM-LP,18
0xdd8308d5758ddcb543d8d9f5c49d4c7488823d4e,"Venom LP Token",VENOM-LP,18
0xcea78941f763ed20feb50a8a0976b6be55619417,"Venom LP Token",VENOM-LP,18
0xf6938abb05f01d6089561fbf14121e3223ab43ba,"Loot LP Token",LOOT-LP,18
0x434c12d00e46a5347467c6b9b6368feb8ca65825,"Venom LP Token",VENOM-LP,18
0x6aec68cc4c165d5c98e9d01dbd7f19032102deeb,"Staked Olympus",sOHM,9
0x829e65121db228e3ac2ac5354241f1ac44640b5a,"SpaceVerse",SPV,18
0xd63d68818a56c6a8e8777446d0dda72ed792866c,"SmugDoge.com",SMUG,9
0x9c21b736058ea2d7ffb3680c0bd9893139cbc5a9,"Fenrir Inu",FEN,18
0x314c64d7d89c09295938a500916974466272c559,"Venom LP Token",VENOM-LP,18
0x019bf9793fba729f3e819262f28dff8bbd0f9324,"Elephant",ELEPHANT,18
0x2a13dbd6846414f71cf1b7cbbc4fa0b1549c4e9a,"Venom LP Token",VENOM-LP,18
0x2177cc5e48cd9fdd08abd27a0db08724e35740bd,"SonicCity",SONICx,18
0x95f3932a435b68808212e3e7ebff90f4e4aa14a7,"OpenSwap Token",OpenX,18
0xb37aac8c823f37836cc2e6cc17405df900d49415,"SushiSwap LP Token",SLP,18
0x3a25cffc76186875409e46cee76ebfd98cff2713,"Guitar ",GTR,18
0xaa8548e4be97051b3718d8376e5b39a46a1b46b6,"Mochi LP Token",MOCHI-LP,18
0x929d3ad8faa33470ee1928a2248707c4526a606f,"WagmiDAO",GMI,18
